block_id,candidate_id,id,group,disease,treatment,probability
2,1,2,a,no,treated,0.30000000000000004
2,2,2,a,no,untreated,0.7000000000000001
4,1,4,a,no,treated,0.30000000000000004
4,2,4,a,no,untreated,0.7000000000000001
5,1,5,b,yes,treated,0.11999999999999998
5,2,5,b,yes,untreated,0.08
5,3,5,b,no,treated,0.08
5,4,5,b,no,untreated,0.72
6,1,6,b,yes,treated,0.11999999999999998
6,2,6,b,yes,untreated,0.08
6,3,6,b,no,treated,0.08
6,4,6,b,no,untreated,0.72
7,1,7,a,yes,treated,0.5599999999999999
7,2,7,a,yes,untreated,0.13999999999999999
7,3,7,a,no,treated,0.09
7,4,7,a,no,untreated,0.21000000000000002
9,1,9,b,yes,treated,0.11999999999999998
9,2,9,b,yes,untreated,0.08
9,3,9,b,no,treated,0.08
9,4,9,b,no,untreated,0.72
10,1,10,b,yes,treated,0.11999999999999998
10,2,10,b,yes,untreated,0.08
10,3,10,b,no,treated,0.08
10,4,10,b,no,untreated,0.72
16,1,16,b,yes,treated,0.11999999999999998
16,2,16,b,yes,untreated,0.08
16,3,16,b,no,treated,0.08
16,4,16,b,no,untreated,0.72
17,1,17,b,yes,treated,0.11999999999999998
17,2,17,b,yes,untreated,0.08
17,3,17,b,no,treated,0.08
17,4,17,b,no,untreated,0.72
