block_id,candidate_id,bid_probability,tid_probability,tid_odds
2,1,0.30000000000000004,0.23076923076923078,0.30000000000000004
2,2,0.7000000000000001,0.4117647058823529,0.7
4,1,0.30000000000000004,0.23076923076923078,0.30000000000000004
4,2,0.7000000000000001,0.4117647058823529,0.7
5,1,0.11999999999999998,0.10714285714285714,0.11999999999999998
5,2,0.08,0.07407407407407407,0.08
5,3,0.08,0.07407407407407407,0.08
5,4,0.72,0.41860465116279066,0.7199999999999999
6,1,0.11999999999999998,0.10714285714285714,0.11999999999999998
6,2,0.08,0.07407407407407407,0.08
6,3,0.08,0.07407407407407407,0.08
6,4,0.72,0.41860465116279066,0.7199999999999999
7,1,0.5599999999999999,0.3589743589743589,0.5599999999999998
7,2,0.13999999999999999,0.12280701754385964,0.13999999999999999
7,3,0.09,0.08256880733944953,0.08999999999999998
7,4,0.21000000000000002,0.1735537190082645,0.21000000000000008
9,1,0.11999999999999998,0.10714285714285714,0.11999999999999998
9,2,0.08,0.07407407407407407,0.08
9,3,0.08,0.07407407407407407,0.08
9,4,0.72,0.41860465116279066,0.7199999999999999
10,1,0.11999999999999998,0.10714285714285714,0.11999999999999998
10,2,0.08,0.07407407407407407,0.08
10,3,0.08,0.07407407407407407,0.08
10,4,0.72,0.41860465116279066,0.7199999999999999
16,1,0.11999999999999998,0.10714285714285714,0.11999999999999998
16,2,0.08,0.07407407407407407,0.08
16,3,0.08,0.07407407407407407,0.08
16,4,0.72,0.41860465116279066,0.7199999999999999
17,1,0.11999999999999998,0.10714285714285714,0.11999999999999998
17,2,0.08,0.07407407407407407,0.08
17,3,0.08,0.07407407407407407,0.08
17,4,0.72,0.41860465116279066,0.7199999999999999
